#,Callsign,Departure_Time,Destination Info,Origin Info,Origin,Dest,Routing,Aircraft Type,Cruise Speed (knots),Max Ceiling (FL),Default RFL,Time Duration,Schedule Arrival Time,path
103,AK700,10:00:20,WMKK,WSSS,(SIN),(KUL),WSSS_WMKK,A320,450,410,FL260,01:00:00,08:45:00,"[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]"
104,AK702,10:00:30,WMKK,WSSS,(SIN),(KUL),WSSS_WMKK,A320,450,410,FL260,01:00:00,10:10:00,"[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]"
105,3K663,10:00:40,WMKK,WSSS,(SIN),(KUL),WSSS_WMKK,A320,450,410,FL260,01:00:00,10:35:00,"[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]"
106,TR2454,10:00:50,WMKK,WSSS,(SIN),(KUL),WSSS_WMKK,A320,450,410,FL260,01:00:00,10:45:00,"[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]"
107,MI326,10:01:00,WMKK,WSSS,(SIN),(KUL),WSSS_WMKK,A320,450,410,FL260,01:00:00,11:15:00,"[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]"
108,AK704,10:01:20,WMKK,WSSS,(SIN),(KUL),WSSS_WMKK,A320,450,410,FL260,01:00:00,11:30:00,"[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]"
109,AK706,10:01:30,WMKK,WSSS,(SIN),(KUL),WSSS_WMKK,A320,450,410,FL260,01:00:00,12:40:00,"[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]"
110,MI328,10:01:40,WMKK,WSSS,(SIN),(KUL),WSSS_WMKK,A320,450,410,FL260,01:00:00,13:45:00,"[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]"
111,3K685,10:01:50,WMKK,WSSS,(SIN),(KUL),WSSS_WMKK,A320,450,410,FL260,01:00:00,13:50:00,"[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]"
112,AK710,10:02:00,WMKK,WSSS,(SIN),(KUL),WSSS_WMKK,A320,450,410,FL260,01:00:00,14:30:00,"[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]"
113,AK712,10:02:10,WMKK,WSSS,(SIN),(KUL),WSSS_WMKK,A320,450,410,FL260,01:00:00,15:10:00,"[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]"
114,MI330,10:02:20,WMKK,WSSS,(SIN),(KUL),WSSS_WMKK,A320,450,410,FL260,01:00:00,16:25:00,"[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]"
115,AK714,10:02:30,WMKK,WSSS,(SIN),(KUL),WSSS_WMKK,A320,450,410,FL260,01:00:00,17:10:00,"[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]"
